ksh_kod,rang,megyekod,jaras,terulet,nepesseg,lakasok
9566,fővárosi kerület,1,001 1,341,25172,17026
3179,fővárosi kerület,1,002 1,3634,89452,49093
18069,fővárosi kerület,1,003 1,3970,130560,63410
5467,fővárosi kerület,1,004 1,1882,100071,47406
29586,fővárosi kerület,1,005 1,259,26013,19794
13392,fővárosi kerület,1,006 1,238,38541,28135
16586,fővárosi kerület,1,007 1,209,52362,37023
29744,fővárosi kerület,1,008 1,685,76916,45569
25405,fővárosi kerület,1,009 1,1253,59720,41096
10700,fővárosi kerület,1,010 1,3249,78030,38867
14216,fővárosi kerület,1,011 1,3349,148517,80215
24697,fővárosi kerület,1,012 1,2667,57566,33583
24299,fővárosi kerület,1,013 1,1344,121657,74364
16337,fővárosi kerület,1,014 1,1813,124218,73280
4011,fővárosi kerület,1,015 1,2694,79675,37350
11314,fővárosi kerület,1,016 1,3351,74499,31591
8208,fővárosi kerület,1,017 1,5482,87673,33682
2112,fővárosi kerület,1,018 1,3860,102216,44308
29285,fővárosi kerület,1,019 1,938,59648,27389
6026,fővárosi kerület,1,020 1,1219,65611,31137
13189,fővárosi kerület,1,021 1,2575,76092,33383
10214,fővárosi kerület,1,022 1,3425,55112,22974
34139,fővárosi kerület,1,023 1,4077,22965,8750